id	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3	pval	qval
ENSG00000128422	2057.0	1806.0	1659.0	3.0	4.0	5.0	0.0	0.0
ENSG00000088305	184.0	163.0	176.0	24039.0	24288.0	24693.0	0.0	0.0
ENSG00000075223	4654.0	5182.0	5251.0	36.0	28.0	22.0	0.0	0.0
ENSG00000167244	29992.0	25092.0	30947.0	67.0	46.0	41.0	0.0	0.0
ENSG00000106366	19439.0	26823.0	22477.0	67.0	68.0	53.0	0.0	0.0
ENSG00000106278	4.0	4.0	7.0	3300.0	2917.0	2848.0	0.0	0.0
ENSG00000115461	3078.0	2521.0	2912.0	91.0	88.0	69.0	0.0	0.0
ENSG00000175315	1551.0	1720.0	1796.0	9.0	6.0	9.0	0.0	0.0
ENSG00000170421	18971.0	19021.0	21422.0	1537.0	1524.0	1527.0	0.0	0.0
ENSG00000135480	12121.0	11484.0	10987.0	87.0	77.0	73.0	0.0	0.0
ENSG00000115414	177052.0	178697.0	170272.0	645.0	481.0	383.0	0.0	0.0
ENSG00000107796	5586.0	6076.0	6741.0	60.0	46.0	40.0	0.0	0.0
ENSG00000184347	2571.0	2695.0	3055.0	26.0	17.0	3.0	0.0	0.0
ENSG00000100311	1036.0	983.0	1073.0	13.0	20.0	13.0	0.0	0.0
ENSG00000125266	7339.0	6888.0	8479.0	265.0	273.0	249.0	0.0	0.0
ENSG00000120937	1029.0	1010.0	1053.0	1.0	6.0	3.0	0.0	0.0
ENSG00000122642	1953.0	1899.0	1995.0	99.0	75.0	82.0	0.0	0.0
ENSG00000146648	1893.0	1935.0	1881.0	64.0	45.0	47.0	0.0	0.0
ENSG00000156925	6.0	2.0	0.05	4578.0	3666.0	4236.0	0.0	0.0
ENSG00000168386	1917.0	2036.0	2284.0	8.0	0.05	6.0	0.0	0.0
ENSG00000171617	7452.0	6173.0	7666.0	57.0	54.0	56.0	0.0	0.0
ENSG00000149218	2343.0	2218.0	2404.0	66.0	67.0	56.0	0.0	0.0
ENSG00000136014	9.0	4.0	4.0	3221.0	3011.0	2991.0	0.0	0.0
ENSG00000158258	1807.0	1809.0	1937.0	37.0	32.0	24.0	0.0	0.0
ENSG00000145246	2814.0	2841.0	3004.0	93.0	92.0	93.0	0.0	0.0
ENSG00000139926	4742.0	4836.0	4700.0	166.0	129.0	137.0	0.0	0.0
ENSG00000187498	88280.0	89082.0	90832.0	1365.0	1364.0	1389.0	0.0	0.0
ENSG00000164733	9636.0	9325.0	11215.0	713.0	736.0	755.0	0.0	0.0
ENSG00000156466	2919.0	2975.0	3872.0	7.0	0.05	2.0	0.0	0.0
ENSG00000115596	1529.0	1383.0	1682.0	1.0	0.05	0.05	0.0	0.0
ENSG00000137573	3034.0	2650.0	3454.0	12.0	9.0	19.0	0.0	0.0
ENSG00000107485	1054.0	1034.0	1105.0	5.0	3.0	1.0	0.0	0.0
ENSG00000159216	1080.597	926.812	1065.57	5.0	8.667	7.667000000000001	0.0	0.0
ENSG00000164292	6586.0	7229.0	7568.0	143.0	97.0	95.0	0.0	0.0
ENSG00000197956	2168.0	2191.0	2254.0	58.0	63.0	58.0	0.0	0.0
ENSG00000163191	4948.0	4978.0	5177.0	299.0	310.0	327.0	0.0	0.0
ENSG00000087253	2381.0	2773.0	2717.0	31.0	14.0	14.0	0.0	0.0
ENSG00000158710	6757.0	7085.0	7550.0	591.0	619.0	549.0	0.0	0.0
ENSG00000111859	1198.0	1273.0	1413.0	17.0	18.0	12.0	0.0	0.0
ENSG00000133980	0.05	0.05	0.05	2284.0	1987.0	2284.0	0.0	0.0
ENSG00000197324	2488.0	2401.0	2594.0	121.0	119.0	132.0	0.0	0.0
ENSG00000168615	5724.0	6074.0	5893.0	322.0	344.0	316.0	0.0	0.0
ENSG00000184292	3842.0	4241.0	4607.0	15.0	4.0	2.0	0.0	0.0
