ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
A1BG	16	7	6	25	15	31
A1BG-AS1	0.05	0.05	0.05	0.05	0.05	0.05
A1CF	0.05	0.05	0.05	0.05	2	1
A2M	45	6	5	2	1	2
A2M-AS1	0.05	0.05	0.05	0.05	0.05	0.05
A2ML1	4	0.05	2	33	47	62
A3GALT2	0.05	1	0.05	0.05	0.05	0.05
A4GALT	61	69	57	112	47	95
A4GNT	0.05	0.05	0.05	1	1	0.05
AAAS	325	283	372	703	678	621
AACS	369	411	405	554	489	537
AADAC	0.05	0.05	0.05	0.05	0.05	0.05
AADACL2	0.05	0.05	0.05	0.05	0.05	0.05
AADACL3	0.05	0.05	0.05	12	9	11
AADACL4	1	1	0.05	1	0.05	0.05
AADAT	191	181	157	225	165	118
AAED1	100	111	99	54	51	45
AAGAB	574	590	611	845	732	684
AAK1	911	838	924	985	879	854
AAMDC	60	45	67	95	89	96
AAMP	666	664	779	1288	1658	1471
AANAT	2	3	0.05	2	5	2
AAR2	341	334	355	455	452	431
AARD	2	1	1	14	14	16
AARS	879	1005	1148	3223	4294	3860
AARS2	225	208	256	547	591	528
AARSD1	52.667	50	63	141.667	138	421
AASDH	88	98	115	298	217	171
AASDHPPT	786	690	789	790	779	721
AASS	310	246	246	5924	5508	5655
AATF	633	593	751	1161	1308	1229
AATK	28	21	34	21	20	23
AATK-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ABAT	172	101	80	146	120	148
ABCA1	677	377	434	1448	1548	1628
ABCA2	179	123	154	87	68	71
ABCA3	40	44	75	259	202	213
ABCA4	158	179	198	2	2	2
ABCA5	210	205	202	55	65	55
ABCA6	0.05	0.05	0.05	0.05	0.05	0.05
ABCA7	136	101	132	251	218	212
ABCA8	0.05	0.05	0.05	0.05	0.05	1
ABCA9	2	0.05	2	0.05	2	0.05
ABCA10	0.05	3	6	1	1	1
ABCA12	48	43	42	0.05	0.05	1
ABCA13	3	1	0.05	7	4	3
ABCB1	2	0.05	3	6	5	4
ABCB4	15	4	11	1	1	1
ABCB5	0.05	0.05	0.05	0.05	0.05	0.05
ABCB6	223	210	247	289	451	367
ABCB7	186	182	192	603	474	487
ABCB8	399	297	408	273	337	298
ABCB9	43	39	49	34	30	37
ABCB10	361	358	335	288	311	297
ABCB11	1	0.05	2	0.05	0.05	0.05
ABCC1	691	555	571	1187	966	995
ABCC2	9	7	9	10	10	15
ABCC3	3	8	2	3	2	2
ABCC4	200	156	110	233	167	138
ABCC5	364	344	378	856	754	708
ABCC5-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ABCC6	12	5	10	2	5	9
ABCC8	0.05	0.05	0.05	19	22	14
ABCC9	0.05	3	1	0.05	0.05	0.05
ABCC10	426	352	437	253	250	219
ABCC11	0.05	2	0.05	3	6	4
ABCC12	0.05	0.05	0.05	1	0.05	1
ABCD1	143	162	177	61	80	63
ABCD2	2	1	0.05	0.05	0.05	0.05
ABCD3	905	881	956	587	516	547
ABCD4	305	234	265	697	622	574
ABCE1	847	815	857	2203	2396	2131
ABCF1	996	927	1102	2316	2153	2040
ABCF2	505	553	564	859	1064	878
ABCF3	356	322	396	524	645	547
ABCG1	3	1	5	47	23	44
ABCG2	250	346	258	42	91	64
ABCG4	1	1	1	5	15	17
ABCG5	0.05	0.05	0.05	0.05	1	1
ABCG8	0.05	0.05	0.05	0.05	0.05	0.05
ABHD1	0.05	0.05	0.05	4	2	2
ABHD2	870	850	907	561	452	499
ABHD3	166	139	158	94	87	108
ABHD4	375	508	472	667	884	753
ABHD5	287	332	333	354	343	368
ABHD6	38	32	39	47	40	45
ABHD8	59	73	70	201	172	181
ABHD10	199	171	157	303	297	292
ABHD11	99	96	96	222	240	207
ABHD12	648	626	724	657	842	750
ABHD12B	3	2	1	7	17	9
ABHD13	335	294	329	270	208	214
ABHD14A	46	31	27	26	28	27
ABHD14A-ACY1	0.05	0.05	0.05	0.05	0.05	0.05
ABHD14B	107	123	156	58	77	67
ABHD15	167	156	167	17	21	18
ABHD16A	404	351	441	356	357	335
ABHD16B	30	26	30	33	41	33
ABHD17A	207	201	252	189	199	150
ABHD17B	239	167	214	961	777	781
ABHD17C	144	210	224	314	214	213
ABI1	920	1069	1116	648	540	612
ABI2	644	587	639	1718	1542	1530
ABI3	0.05	0.05	0.05	14	20	13
ABI3BP	7	7	8	1	2	2
ABL1	838	740	952	2423	1936	1956
ABL2	713	656	773	478	345	332
ABLIM1	874	1022	1003	916	724	703
ABLIM2	3	1	8	26	15	16
ABLIM3	126	108	106	3	5	4
ABO	5	0.05	0.05	0.05	0.05	0.05
ABR	838	740	813	482	409	391
ABRA	1	0.05	0.05	0.05	0.05	0.05
ABRACL	508	554	558	1405	1273	1381
ABT1	229	267	255	403	457	388
ABTB1	58	38	47	50	29	32
ABTB2	584	588	724	138	155	118
ACAA1	382	351	358	262	305	291
ACAA2	471	469	519	1332	1204	1298
ACACA	747	819	934	1549	1289	1213
ACACB	25	25	19	177	131	119
ACAD8	148	128	144	667	658	563
ACAD9	333	273	300	423	365	378
ACAD10	199	160	190	220	186	208
ACAD11	187	136	146	187	271	210
ACADL	32	58	42	13	7	6
ACADM	374	377	424	1183	1166	1093
ACADS	26	29	36	30	48	31
ACADSB	155	113	138	442	302	298
ACADVL	2897	2636	3053	1856	1944	1598
