id	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest	pval	qval
ENSG00000171243	6.0	9.0	1047.0	1028.0	2.0062612541927173e-14	1.2537632957688946e-10
ENSG00000277586	2812.0	2002.0	42.0	14.0	4.2050131916817946e-14	1.2537632957688946e-10
ENSG00000137474	1528.0	1384.0	28.0	11.0	4.350819652002601e-14	1.2537632957688946e-10
ENSG00000162761	34.0	15.0	2038.0	1644.0	4.473731653055824e-14	1.2537632957688946e-10
ENSG00000107282	5569.0	6668.0	92.0	32.0	3.6943913357923104e-13	6.882397883901063e-10
ENSG00000184347	13.0	9.0	990.0	693.0	4.019462247596482e-13	6.882397883901063e-10
ENSG00000163328	1893.0	1791.0	60.0	43.0	4.297661479688443e-13	6.882397883901063e-10
ENSG00000104112	1003.0	459.0	15.0	7.0	5.241710594792732e-13	7.344946970953316e-10
ENSG00000144229	2118.0	1261.0	48.0	20.0	7.531606393134762e-13	9.381034185226743e-10
ENSG00000196132	378.0	287.0	5.0	5.0	1.0868413852771755e-12	1.2183491928957138e-09
ENSG00000081479	98.0	45.0	3765.0	3357.0	1.5365137594701526e-12	1.5658472039691282e-09
ENSG00000204311	657.0	386.0	13.0	5.0	1.834626810603377e-12	1.7138472122386547e-09
ENSG00000042781	4729.0	3149.0	91.0	29.0	2.3087617399532583e-12	1.964550897975131e-09
ENSG00000100302	1429.0	810.0	28.0	9.0	2.453497999255293e-12	1.964550897975131e-09
ENSG00000101890	17.0	14.0	1100.0	748.0	2.629413563902286e-12	1.965048403422975e-09
ENSG00000163646	1512.0	721.0	31.0	33.0	3.066439426654715e-12	2.0478254636969477e-09
ENSG00000178965	1233.0	880.0	40.0	22.0	3.1055337094422935e-12	2.0478254636969477e-09
ENSG00000156959	573.0	649.0	15.0	6.0	4.147098035933637e-12	2.5827204990453373e-09
ENSG00000197753	588.0	243.0	6.0	1.0	5.383254075042247e-12	3.0236779032282e-09
ENSG00000144406	1415.0	1596.0	55.0	43.0	5.3946082127175735e-12	3.0236779032282e-09
ENSG00000162456	1789.0	1894.0	33.0	7.0	6.399112537912032e-12	3.4159072166663753e-09
ENSG00000144488	1367.0	1064.0	27.0	6.0	7.549205482258588e-12	3.846663338914489e-09
ENSG00000187862	398.0	169.0	3.0	3.0	7.990483579430535e-12	3.8944922141485345e-09
ENSG00000176244	618.0	588.0	16.0	5.0	8.632342526071307e-12	3.995444454258028e-09
ENSG00000188487	447.0	156.0	3.0	2.0	8.910447043394353e-12	3.995444454258028e-09
ENSG00000166159	497.0	635.0	15.0	10.0	9.849461087796263e-12	4.246633030546004e-09
ENSG00000152954	489.0	197.0	6.0	5.0	1.1261071160365316e-11	4.675429915099822e-09
ENSG00000204928	465.0	392.0	11.0	3.0	1.2576726083167138e-11	5.0351821211537e-09
ENSG00000132932	514.0	440.0	14.0	15.0	1.534972594425738e-11	5.852384967033901e-09
ENSG00000203780	517.0	416.0	12.0	3.0	1.5662047190991706e-11	5.852384967033901e-09
ENSG00000091536	756.0	896.0	27.0	13.0	1.7086987570955522e-11	6.178875182916497e-09
ENSG00000274068	306.0	233.0	5.0	1.0	1.7958382966902632e-11	6.291046033093078e-09
ENSG00000106809	39.0	37.0	4234.0	1563.0	2.1170986080666492e-11	7.191719817099133e-09
ENSG00000060709	280.0	234.0	5.0	1.0	3.6784307662493805e-11	1.2128002614604574e-08
