ensgeneid	sym	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSMUSG00000001025	S100a6	0	6	16	30
ENSMUSG00000001227	Sema6b	30	20	20	2
ENSMUSG00000002983	Relb	7	4	4	30
ENSMUSG00000004187	Kifc2	10	21	9	30
ENSMUSG00000006585	Cdt1	4	0	16	30
ENSMUSG00000010051	Hyal1	11	5	11	30
ENSMUSG00000011256	Adam19	30	22	28	14
ENSMUSG00000020654	Adcy3	7	4	12	30
ENSMUSG00000020848	Doc2b	5	1	24	30
ENSMUSG00000022229	Atp12a	4	7	0	30
ENSMUSG00000022313	Utp23	5	2	30	13
ENSMUSG00000022554	Fam203a	2	0	12	30
ENSMUSG00000022863	Btg3	30	25	29	22
ENSMUSG00000024777	Ppp2r5b	27	22	25	30
ENSMUSG00000025137	Pcyt2	14	10	16	30
ENSMUSG00000025858	Get4	7	7	17	30
ENSMUSG00000026042	Col5a2	4	9	30	25
ENSMUSG00000026080	Chst10	9	30	3	18
ENSMUSG00000026807	Ak8	30	9	1	3
ENSMUSG00000027364	Usp50	30	15	1	5
ENSMUSG00000028555	Ttc39a	18	12	0	30
ENSMUSG00000028737	Aldh4a1	30	24	18	22
ENSMUSG00000029060	Mib2	10	6	3	30
ENSMUSG00000030032	Wdr54	30	11	9	20
ENSMUSG00000032598	Nckipsd	3	5	30	11
ENSMUSG00000037278	Tmem97	0	0	0	30
ENSMUSG00000037594	BC022687	30	21	14	23
ENSMUSG00000037638	Zbtb42	8	0	22	30
ENSMUSG00000038302	Lace1	30	10	17	19
ENSMUSG00000039577	Nphp4	21	30	6	28
ENSMUSG00000039781	Azi1	22	30	13	21
ENSMUSG00000040747	Cd53	23	30	2	0
ENSMUSG00000041423	Paqr6	0	0	1	30
ENSMUSG00000041506	Rrp9	6	3	2	30
ENSMUSG00000041801	Phlda3	0	1	9	30
ENSMUSG00000041954	Tnfrsf18	30	10	1	9
ENSMUSG00000043664	Tmem221	0	0	2	30
ENSMUSG00000046179	E2f8	0	5	23	30
ENSMUSG00000048445	Ccdc57	30	10	6	15
ENSMUSG00000048647	Exd1	9	0	30	7
ENSMUSG00000051548	Gm6365	20	0	30	3
ENSMUSG00000051721	BC068281	9	3	28	30
ENSMUSG00000053198	Prx	0	0	6	30
ENSMUSG00000054517	Trim65	9	13	30	17
ENSMUSG00000055409	Nell1	30	4	9	18
ENSMUSG00000058331	Zfp85-rs1	16	16	30	25
ENSMUSG00000059554	Ccdc28a	30	30	18	24
ENSMUSG00000059743	Fdps	7	10	2	30
ENSMUSG00000061911	Myt1l	30	29	0	0
ENSMUSG00000062054	Iah1	18	14	19	30
ENSMUSG00000062867	Impdh2	9	30	12	11
ENSMUSG00000064369	mt-Te	30	0	2	0
ENSMUSG00000066108	Muc5b	30	10	0	8
ENSMUSG00000069678	Pcgf1	18	30	13	27
ENSMUSG00000072763	5430403G16Rik	22	5	30	13
ENSMUSG00000072774	Zfp951	9	25	30	17
ENSMUSG00000074170	Plekhf1	1	0	4	30
ENSMUSG00000074826	Gm10767	21	26	30	16
ENSMUSG00000079662	Ntn3	6	0	30	23
ENSMUSG00000081382	Rpl18-ps1	2	4	4	30
ENSMUSG00000081451	Gm12734	29	20	30	27
ENSMUSG00000081470	Gm14131	25	0	30	2
ENSMUSG00000082529	Gm11199	3	30	0	3
ENSMUSG00000082930	Gm13462	21	0	30	0
ENSMUSG00000084915	C230037L18Rik	30	21	17	11
ENSMUSG00000085379	2310058D17Rik	30	18	22	14
ENSMUSG00000085433	Gm16001	11	17	22	30
ENSMUSG00000086510	na	7	15	14	30
ENSMUSG00000086851	A430108G06Rik	30	28	1	1
ENSMUSG00000086865	na	30	18	5	18
ENSMUSG00000087013	2610027K06Rik	3	11	2	30
ENSMUSG00000087395	Gm12705	11	0	30	12
ENSMUSG00000087694	A530058N18Rik	10	30	1	4
ENSMUSG00000090397	Gm17096	9	5	8	30
ENSMUSG00000090452	na	30	20	5	2
ENSMUSG00000090800	na	0	0	30	9
ENSMUSG00000091462	Gm17084	9	17	30	20
ENSMUSG00000091727	na	0	5	30	2
ENSMUSG00000000531	Grasp	31	12	22	13
ENSMUSG00000002767	Mrpl2	11	23	25	31
ENSMUSG00000002825	Qtrt1	17	31	2	29
ENSMUSG00000004791	Pgf	31	2	23	9
ENSMUSG00000005150	Wdr83	15	17	14	31
ENSMUSG00000006021	Kptn	6	17	10	31
ENSMUSG00000010044	Zmynd10	5	31	0	14
ENSMUSG00000014547	Wdfy2	31	12	19	30
ENSMUSG00000015850	Adamtsl4	2	4	1	31
ENSMUSG00000016510	Mtif3	31	7	27	30
ENSMUSG00000018821	Avpi1	8	7	19	31
ENSMUSG00000019863	Qrsl1	17	10	21	31
ENSMUSG00000019883	Echdc1	27	16	12	31
ENSMUSG00000020329	Polrmt	12	3	12	31
ENSMUSG00000020415	Pttg1	2	5	31	20
ENSMUSG00000021684	Pde8b	20	31	12	28
ENSMUSG00000022176	Rem2	31	29	11	27
ENSMUSG00000022211	Lrrc16b	31	23	3	17
ENSMUSG00000022550	Adck5	1	5	4	31
ENSMUSG00000022615	Tymp	19	30	8	31
ENSMUSG00000022657	Cd96	7	31	16	11
ENSMUSG00000022838	Eaf2	10	4	31	3
ENSMUSG00000024309	H2-Ke2	26	2	31	30
ENSMUSG00000024893	na	13	15	20	31
ENSMUSG00000026347	Tmem163	8	0	31	17
ENSMUSG00000026614	Slc30a10	31	25	4	6
ENSMUSG00000027222	Pex16	7	0	6	31
ENSMUSG00000028459	Cd72	3	1	0	31
ENSMUSG00000028523	Tctex1d1	11	31	1	5
ENSMUSG00000028672	Hmgcl	9	0	7	31
ENSMUSG00000028688	Toe1	16	15	31	4
ENSMUSG00000029177	Cenpa	0	5	17	31
ENSMUSG00000029182	1700001C02Rik	8	31	1	1
ENSMUSG00000030034	Ino80b	24	27	31	16
ENSMUSG00000030243	Recql	25	30	16	31
ENSMUSG00000030731	Syt3	8	0	8	31
ENSMUSG00000034889	2510012J08Rik	12	6	11	31
ENSMUSG00000035615	Frmpd1	31	4	7	16
ENSMUSG00000035713	Usp35	11	9	18	31
ENSMUSG00000037509	Arhgef4	15	3	20	31
ENSMUSG00000037570	Mcrs1	15	2	25	31
ENSMUSG00000037761	Actr5	31	3	13	19
ENSMUSG00000038372	Gmds	12	16	31	25
ENSMUSG00000039131	Gipc2	31	5	2	2
ENSMUSG00000040836	Gpr161	9	4	14	31
ENSMUSG00000042116	Vwa1	2	5	0	31
ENSMUSG00000042453	Reln	31	3	10	4
ENSMUSG00000042708	1700012A16Rik	30	31	5	4
ENSMUSG00000042751	Nmnat2	2	31	4	26
ENSMUSG00000045007	Tubg2	14	2	6	31
ENSMUSG00000046687	Gm5424	0	16	3	31
ENSMUSG00000048827	Pkd1l3	31	9	12	8
ENSMUSG00000049091	Sephs2	21	12	25	31
ENSMUSG00000049892	Rasd1	12	1	31	8
ENSMUSG00000050103	Agmo	0	3	14	31
ENSMUSG00000050382	Kif7	16	5	23	31
ENSMUSG00000052658	5830454E08Rik	4	0	31	6
ENSMUSG00000055831	Gm9982	31	31	10	7
ENSMUSG00000060260	Pwwp2b	2	10	18	31
ENSMUSG00000061897	Gm14292	12	15	19	31
ENSMUSG00000062997	Rpl35	21	31	3	7
ENSMUSG00000063558	Aox1	4	1	19	31
ENSMUSG00000065147	Snora31	16	19	16	31
ENSMUSG00000067736	Gm10222	0	31	0	16
ENSMUSG00000068240	Gm11808	1	8	4	31
ENSMUSG00000073073	Gm8098	9	6	31	3
ENSMUSG00000074867	Zfp808	6	16	31	26
ENSMUSG00000075025	Gm10804	12	31	20	0
ENSMUSG00000075538	Gm10855	15	0	31	3
ENSMUSG00000078151	Gm12226	3	6	8	31
ENSMUSG00000078630	Tomt	31	18	0	0
ENSMUSG00000078994	Zfp429	10	11	31	16
ENSMUSG00000080968	Gm1862	4	14	1	31
ENSMUSG00000083670	Gm6829	2	7	7	31
ENSMUSG00000083767	Gm11405	13	15	15	31
ENSMUSG00000085440	D330022K07Rik	25	31	2	17
ENSMUSG00000085446	na	31	7	16	12
ENSMUSG00000085575	Gm15485	31	12	29	1
ENSMUSG00000085882	2610507I01Rik	31	0	0	1
ENSMUSG00000086866	4930512H18Rik	22	31	0	6
ENSMUSG00000087221	BC037032	31	21	28	10
ENSMUSG00000087414	na	9	31	1	0
ENSMUSG00000089992	G6pd2	15	2	31	24
ENSMUSG00000001773	Folh1	0	0	32	5
ENSMUSG00000002068	Ccne1	14	3	8	32
ENSMUSG00000002486	Tchp	32	16	22	29
ENSMUSG00000004415	Emid2	22	6	32	23
ENSMUSG00000010048	Ifrd2	16	6	32	31
ENSMUSG00000013973	Dedd	32	21	21	27
ENSMUSG00000014599	Csf1	7	0	4	32
ENSMUSG00000014782	Plekhg4	0	0	32	32
ENSMUSG00000018659	Pnpo	32	21	18	17
ENSMUSG00000020133	2310011J03Rik	11	4	24	32
ENSMUSG00000020411	Nipal4	1	20	0	32
ENSMUSG00000020534	Shmt1	15	16	32	26
ENSMUSG00000020974	Pole2	10	5	12	32
ENSMUSG00000021179	BC002230	19	26	29	32
ENSMUSG00000022034	Esco2	0	0	3	32
ENSMUSG00000022056	Adam7	27	32	1	0
ENSMUSG00000022325	Pop1	16	30	32	17
ENSMUSG00000022386	Trmu	21	18	12	32
ENSMUSG00000022469	Rapgef3	3	0	11	32
ENSMUSG00000022476	Polr3h	24	6	20	32
ENSMUSG00000022510	Trp63	0	13	32	4
ENSMUSG00000023467	Tulp2	16	5	21	32
ENSMUSG00000025486	Sirt3	13	5	11	32
ENSMUSG00000026514	Cnih3	32	17	26	1
ENSMUSG00000027163	Commd9	15	12	13	32
ENSMUSG00000027331	D2Ertd750e	11	6	5	32
ENSMUSG00000027669	Gnb4	9	8	10	32
ENSMUSG00000028318	Polr1e	31	15	12	32
ENSMUSG00000028950	Tas1r1	32	9	1	7
ENSMUSG00000029828	4921507P07Rik	18	3	23	32
ENSMUSG00000031074	Fgf3	15	2	3	32
ENSMUSG00000031146	Plp2	11	4	19	32
ENSMUSG00000031169	Porcn	11	20	16	32
ENSMUSG00000031385	Plxnb3	15	16	5	32
ENSMUSG00000031387	Renbp	0	0	9	32
ENSMUSG00000031749	St3gal2	32	12	32	31
ENSMUSG00000032346	Ooep	9	0	32	12
ENSMUSG00000032593	Amigo3	2	0	15	32
ENSMUSG00000033728	Lrrc14	31	14	19	32
ENSMUSG00000034997	Htr2a	32	2	0	6
ENSMUSG00000037703	Prosapip1	11	32	23	19
ENSMUSG00000037946	Fgd3	7	29	11	32
ENSMUSG00000040795	Iqcc	32	16	17	20
ENSMUSG00000041798	Gck	8	32	7	15
ENSMUSG00000041949	Tmco7	32	16	13	27
ENSMUSG00000042766	Trim46	32	8	6	16
ENSMUSG00000042845	Wfdc12	13	0	0	32
ENSMUSG00000043811	Rtn4r	32	0	0	1
ENSMUSG00000044551	9930012K11Rik	6	0	32	12
ENSMUSG00000046679	C87436	19	20	26	32
ENSMUSG00000046865	Fbl	19	32	9	27
ENSMUSG00000047720	4922502D21Rik	0	0	32	0
ENSMUSG00000049160	4930469G21Rik	32	12	3	5
ENSMUSG00000050410	Tcf19	0	0	0	32
ENSMUSG00000056481	Cd248	32	4	1	7
ENSMUSG00000056612	Ppp1r14b	3	0	30	32
ENSMUSG00000058586	Serhl	32	0	8	10
ENSMUSG00000058656	Samd12	2	5	32	32
ENSMUSG00000060376	Bckdha	14	6	4	32
ENSMUSG00000061894	Zscan20	32	8	31	18
ENSMUSG00000062101	Zfp119b	17	32	21	25
ENSMUSG00000062554	Gm12751	12	18	17	32
