id	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSMUSG00000001025	0	6	16	30
ENSMUSG00000001227	30	20	20	2
ENSMUSG00000002983	7	4	4	30
ENSMUSG00000004187	10	21	9	30
ENSMUSG00000006585	4	0	16	30
ENSMUSG00000010051	11	5	11	30
ENSMUSG00000011256	30	22	28	14
ENSMUSG00000020654	7	4	12	30
ENSMUSG00000020848	5	1	24	30
ENSMUSG00000022229	4	7	0	30
ENSMUSG00000022313	5	2	30	13
ENSMUSG00000022554	2	0	12	30
ENSMUSG00000022863	30	25	29	22
ENSMUSG00000024777	27	22	25	30
ENSMUSG00000025137	14	10	16	30
ENSMUSG00000025858	7	7	17	30
ENSMUSG00000026042	4	9	30	25
ENSMUSG00000026080	9	30	3	18
ENSMUSG00000026807	30	9	1	3
ENSMUSG00000027364	30	15	1	5
ENSMUSG00000028555	18	12	0	30
ENSMUSG00000028737	30	24	18	22
ENSMUSG00000029060	10	6	3	30
ENSMUSG00000030032	30	11	9	20
ENSMUSG00000032598	3	5	30	11
ENSMUSG00000037278	0	0	0	30
ENSMUSG00000037594	30	21	14	23
ENSMUSG00000037638	8	0	22	30
ENSMUSG00000038302	30	10	17	19
ENSMUSG00000039577	21	30	6	28
ENSMUSG00000039781	22	30	13	21
ENSMUSG00000040747	23	30	2	0
ENSMUSG00000041423	0	0	1	30
ENSMUSG00000041506	6	3	2	30
ENSMUSG00000041801	0	1	9	30
ENSMUSG00000041954	30	10	1	9
ENSMUSG00000043664	0	0	2	30
ENSMUSG00000046179	0	5	23	30
ENSMUSG00000048445	30	10	6	15
ENSMUSG00000048647	9	0	30	7
ENSMUSG00000051548	20	0	30	3
ENSMUSG00000051721	9	3	28	30
ENSMUSG00000053198	0	0	6	30
ENSMUSG00000054517	9	13	30	17
ENSMUSG00000055409	30	4	9	18
ENSMUSG00000058331	16	16	30	25
ENSMUSG00000059554	30	30	18	24
ENSMUSG00000059743	7	10	2	30
ENSMUSG00000061911	30	29	0	0
ENSMUSG00000062054	18	14	19	30
ENSMUSG00000062867	9	30	12	11
ENSMUSG00000064369	30	0	2	0
ENSMUSG00000066108	30	10	0	8
ENSMUSG00000069678	18	30	13	27
ENSMUSG00000072763	22	5	30	13
ENSMUSG00000072774	9	25	30	17
ENSMUSG00000074170	1	0	4	30
ENSMUSG00000074826	21	26	30	16
ENSMUSG00000079662	6	0	30	23
ENSMUSG00000081382	2	4	4	30
ENSMUSG00000081451	29	20	30	27
ENSMUSG00000081470	25	0	30	2
ENSMUSG00000082529	3	30	0	3
ENSMUSG00000082930	21	0	30	0
ENSMUSG00000084915	30	21	17	11
ENSMUSG00000085379	30	18	22	14
ENSMUSG00000085433	11	17	22	30
ENSMUSG00000086510	7	15	14	30
ENSMUSG00000086851	30	28	1	1
ENSMUSG00000086865	30	18	5	18
ENSMUSG00000087013	3	11	2	30
ENSMUSG00000087395	11	0	30	12
ENSMUSG00000087694	10	30	1	4
ENSMUSG00000090397	9	5	8	30
ENSMUSG00000090452	30	20	5	2
ENSMUSG00000090800	0	0	30	9
ENSMUSG00000091462	9	17	30	20
ENSMUSG00000091727	0	5	30	2
ENSMUSG00000000531	31	12	22	13
ENSMUSG00000002767	11	23	25	31
ENSMUSG00000002825	17	31	2	29
ENSMUSG00000004791	31	2	23	9
ENSMUSG00000005150	15	17	14	31
ENSMUSG00000006021	6	17	10	31
ENSMUSG00000010044	5	31	0	14
ENSMUSG00000014547	31	12	19	30
ENSMUSG00000015850	2	4	1	31
ENSMUSG00000016510	31	7	27	30
ENSMUSG00000018821	8	7	19	31
ENSMUSG00000019863	17	10	21	31
ENSMUSG00000019883	27	16	12	31
ENSMUSG00000020329	12	3	12	31
ENSMUSG00000020415	2	5	31	20
ENSMUSG00000021684	20	31	12	28
ENSMUSG00000022176	31	29	11	27
ENSMUSG00000022211	31	23	3	17
ENSMUSG00000022550	1	5	4	31
ENSMUSG00000022615	19	30	8	31
ENSMUSG00000022657	7	31	16	11
ENSMUSG00000022838	10	4	31	3
ENSMUSG00000024309	26	2	31	30
ENSMUSG00000024893	13	15	20	31
ENSMUSG00000026347	8	0	31	17
ENSMUSG00000026614	31	25	4	6
ENSMUSG00000027222	7	0	6	31
ENSMUSG00000028459	3	1	0	31
ENSMUSG00000028523	11	31	1	5
ENSMUSG00000028672	9	0	7	31
ENSMUSG00000028688	16	15	31	4
ENSMUSG00000029177	0	5	17	31
ENSMUSG00000029182	8	31	1	1
ENSMUSG00000030034	24	27	31	16
ENSMUSG00000030243	25	30	16	31
ENSMUSG00000030731	8	0	8	31
ENSMUSG00000034889	12	6	11	31
ENSMUSG00000035615	31	4	7	16
ENSMUSG00000035713	11	9	18	31
ENSMUSG00000037509	15	3	20	31
ENSMUSG00000037570	15	2	25	31
ENSMUSG00000037761	31	3	13	19
ENSMUSG00000038372	12	16	31	25
ENSMUSG00000039131	31	5	2	2
ENSMUSG00000040836	9	4	14	31
ENSMUSG00000042116	2	5	0	31
ENSMUSG00000042453	31	3	10	4
ENSMUSG00000042708	30	31	5	4
ENSMUSG00000042751	2	31	4	26
ENSMUSG00000045007	14	2	6	31
ENSMUSG00000046687	0	16	3	31
ENSMUSG00000048827	31	9	12	8
ENSMUSG00000049091	21	12	25	31
ENSMUSG00000049892	12	1	31	8
ENSMUSG00000050103	0	3	14	31
ENSMUSG00000050382	16	5	23	31
ENSMUSG00000052658	4	0	31	6
ENSMUSG00000055831	31	31	10	7
ENSMUSG00000060260	2	10	18	31
ENSMUSG00000061897	12	15	19	31
ENSMUSG00000062997	21	31	3	7
ENSMUSG00000063558	4	1	19	31
ENSMUSG00000065147	16	19	16	31
ENSMUSG00000067736	0	31	0	16
ENSMUSG00000068240	1	8	4	31
ENSMUSG00000073073	9	6	31	3
ENSMUSG00000074867	6	16	31	26
ENSMUSG00000075025	12	31	20	0
ENSMUSG00000075538	15	0	31	3
ENSMUSG00000078151	3	6	8	31
ENSMUSG00000078630	31	18	0	0
ENSMUSG00000078994	10	11	31	16
ENSMUSG00000080968	4	14	1	31
ENSMUSG00000083670	2	7	7	31
ENSMUSG00000083767	13	15	15	31
ENSMUSG00000085440	25	31	2	17
ENSMUSG00000085446	31	7	16	12
ENSMUSG00000085575	31	12	29	1
ENSMUSG00000085882	31	0	0	1
ENSMUSG00000086866	22	31	0	6
ENSMUSG00000087221	31	21	28	10
ENSMUSG00000087414	9	31	1	0
ENSMUSG00000089992	15	2	31	24
ENSMUSG00000001773	0	0	32	5
ENSMUSG00000002068	14	3	8	32
ENSMUSG00000002486	32	16	22	29
ENSMUSG00000004415	22	6	32	23
ENSMUSG00000010048	16	6	32	31
ENSMUSG00000013973	32	21	21	27
ENSMUSG00000014599	7	0	4	32
ENSMUSG00000014782	0	0	32	32
ENSMUSG00000018659	32	21	18	17
ENSMUSG00000020133	11	4	24	32
ENSMUSG00000020411	1	20	0	32
ENSMUSG00000020534	15	16	32	26
ENSMUSG00000020974	10	5	12	32
ENSMUSG00000021179	19	26	29	32
ENSMUSG00000022034	0	0	3	32
ENSMUSG00000022056	27	32	1	0
ENSMUSG00000022325	16	30	32	17
ENSMUSG00000022386	21	18	12	32
ENSMUSG00000022469	3	0	11	32
ENSMUSG00000022476	24	6	20	32
ENSMUSG00000022510	0	13	32	4
ENSMUSG00000023467	16	5	21	32
ENSMUSG00000025486	13	5	11	32
ENSMUSG00000026514	32	17	26	1
ENSMUSG00000027163	15	12	13	32
ENSMUSG00000027331	11	6	5	32
ENSMUSG00000027669	9	8	10	32
ENSMUSG00000028318	31	15	12	32
ENSMUSG00000028950	32	9	1	7
ENSMUSG00000029828	18	3	23	32
ENSMUSG00000031074	15	2	3	32
ENSMUSG00000031146	11	4	19	32
ENSMUSG00000031169	11	20	16	32
ENSMUSG00000031385	15	16	5	32
ENSMUSG00000031387	0	0	9	32
ENSMUSG00000031749	32	12	32	31
ENSMUSG00000032346	9	0	32	12
ENSMUSG00000032593	2	0	15	32
ENSMUSG00000033728	31	14	19	32
ENSMUSG00000034997	32	2	0	6
ENSMUSG00000037703	11	32	23	19
ENSMUSG00000037946	7	29	11	32
ENSMUSG00000040795	32	16	17	20
ENSMUSG00000041798	8	32	7	15
ENSMUSG00000041949	32	16	13	27
ENSMUSG00000042766	32	8	6	16
ENSMUSG00000042845	13	0	0	32
ENSMUSG00000043811	32	0	0	1
ENSMUSG00000044551	6	0	32	12
ENSMUSG00000046679	19	20	26	32
ENSMUSG00000046865	19	32	9	27
ENSMUSG00000047720	0	0	32	0
ENSMUSG00000049160	32	12	3	5
ENSMUSG00000050410	0	0	0	32
ENSMUSG00000056481	32	4	1	7
ENSMUSG00000056612	3	0	30	32
ENSMUSG00000058586	32	0	8	10
ENSMUSG00000058656	2	5	32	32
ENSMUSG00000060376	14	6	4	32
ENSMUSG00000061894	32	8	31	18
ENSMUSG00000062101	17	32	21	25
ENSMUSG00000062554	12	18	17	32
ENSMUSG00000062785	32	28	10	21
ENSMUSG00000066760	24	0	4	32
ENSMUSG00000068114	8	9	13	32
ENSMUSG00000069070	15	0	32	5
ENSMUSG00000069196	5	5	4	32
ENSMUSG00000069588	32	13	0	4
ENSMUSG00000070583	27	32	25	23
ENSMUSG00000071151	2	13	11	32
ENSMUSG00000072762	2	7	32	18
ENSMUSG00000073702	21	32	25	24
ENSMUSG00000079671	3	32	2	0
ENSMUSG00000080268	32	18	2	28
ENSMUSG00000082127	0	17	0	32
ENSMUSG00000083328	1	1	0	32
ENSMUSG00000083356	8	0	32	0
ENSMUSG00000084145	22	6	26	32
ENSMUSG00000084885	10	32	5	7
ENSMUSG00000085501	31	7	32	2
ENSMUSG00000086456	7	0	10	32
ENSMUSG00000087029	2	10	9	32
ENSMUSG00000087261	32	5	2	5
ENSMUSG00000087574	32	12	24	17
ENSMUSG00000088789	7	0	32	0
ENSMUSG00000090389	11	20	27	32
ENSMUSG00000090905	10	13	32	4
ENSMUSG00000091803	32	15	11	9
ENSMUSG00000091833	3	4	32	5
ENSMUSG00000091956	0	4	21	32
ENSMUSG00000093459	32	21	21	11
ENSMUSG00000093560	32	13	20	11
ENSMUSG00000001305	33	22	23	13
ENSMUSG00000004100	20	8	12	33
ENSMUSG00000010362	0	3	19	33
ENSMUSG00000011752	17	26	24	33
ENSMUSG00000013150	33	16	29	23
ENSMUSG00000013367	17	16	33	32
ENSMUSG00000015533	4	8	19	33
ENSMUSG00000018509	33	10	5	25
ENSMUSG00000018574	7	0	17	33
ENSMUSG00000018599	7	5	7	33
ENSMUSG00000019088	3	0	33	29
ENSMUSG00000021185	4	33	15	25
ENSMUSG00000023806	2	33	0	21
ENSMUSG00000024235	5	15	11	33
ENSMUSG00000025243	33	19	8	4
ENSMUSG00000025825	6	6	13	33
ENSMUSG00000025955	14	33	1	5
ENSMUSG00000026307	29	33	16	21
ENSMUSG00000026791	9	7	0	33
ENSMUSG00000026824	0	33	0	18
ENSMUSG00000027868	19	6	6	33
ENSMUSG00000028378	15	9	33	15
ENSMUSG00000030793	13	6	18	33
ENSMUSG00000030979	33	22	29	21
ENSMUSG00000031659	33	26	3	15
ENSMUSG00000032114	33	23	15	22
ENSMUSG00000032834	22	3	11	33
ENSMUSG00000033852	24	17	15	33
ENSMUSG00000034040	6	33	0	12
ENSMUSG00000034311	1	0	17	33
ENSMUSG00000036552	20	26	25	33
ENSMUSG00000038167	2	0	7	33
ENSMUSG00000040046	33	1	0	3
ENSMUSG00000040714	6	9	17	33
ENSMUSG00000040723	3	0	33	5
ENSMUSG00000041623	20	19	17	33
ENSMUSG00000042404	17	33	13	31
ENSMUSG00000045664	33	16	22	30
ENSMUSG00000050188	2	11	32	33
ENSMUSG00000050541	0	0	18	33
ENSMUSG00000051518	22	10	16	33
ENSMUSG00000051851	22	12	4	33
ENSMUSG00000053693	33	24	3	22
ENSMUSG00000054662	5	0	11	33
ENSMUSG00000057219	13	4	16	33
ENSMUSG00000059406	0	6	2	33
ENSMUSG00000060224	33	9	4	27
ENSMUSG00000061584	6	33	0	0
ENSMUSG00000064132	25	15	33	21
ENSMUSG00000068614	4	33	2	0
ENSMUSG00000070699	33	11	0	28
ENSMUSG00000071653	15	7	20	33
ENSMUSG00000073442	30	33	28	19
ENSMUSG00000073600	3	6	1	33
ENSMUSG00000074046	0	4	0	33
ENSMUSG00000078496	8	14	33	18
ENSMUSG00000083338	7	1	33	3
ENSMUSG00000084230	4	19	13	33
ENSMUSG00000085030	18	15	33	27
ENSMUSG00000086468	4	5	29	33
ENSMUSG00000087138	33	12	18	23
ENSMUSG00000088873	33	0	1	0
ENSMUSG00000090093	11	33	18	21
ENSMUSG00000090399	2	0	0	33
ENSMUSG00000091363	33	5	15	13
ENSMUSG00000091639	0	3	0	33
ENSMUSG00000091764	11	4	33	15
ENSMUSG00000001750	12	6	14	34
ENSMUSG00000006143	0	0	5	34
ENSMUSG00000017801	27	25	34	33
ENSMUSG00000018774	1	4	6	34
ENSMUSG00000019194	34	0	5	0
ENSMUSG00000019933	34	13	3	3
ENSMUSG00000020333	34	24	21	12
ENSMUSG00000020357	34	34	1	1
ENSMUSG00000020526	18	15	18	34
ENSMUSG00000021367	34	6	18	20
ENSMUSG00000022537	19	7	34	25
ENSMUSG00000024019	21	34	12	21
ENSMUSG00000024446	15	19	11	34
ENSMUSG00000024660	8	0	34	24
ENSMUSG00000024883	34	10	3	7
ENSMUSG00000025371	4	1	17	34
ENSMUSG00000025723	34	7	17	25
ENSMUSG00000025978	2	1	0	34
ENSMUSG00000026779	20	24	32	34
ENSMUSG00000028369	0	2	5	34
ENSMUSG00000028949	0	0	19	34
ENSMUSG00000029401	13	5	30	34
ENSMUSG00000030714	9	4	5	34
ENSMUSG00000030780	11	4	15	34
ENSMUSG00000030966	13	6	21	34
ENSMUSG00000031816	11	15	10	34
ENSMUSG00000031986	11	5	10	34
ENSMUSG00000032305	31	17	34	12
ENSMUSG00000032338	3	34	4	10
ENSMUSG00000032420	2	0	34	30
ENSMUSG00000032754	6	0	16	34
ENSMUSG00000033554	28	7	34	26
