gene ID	GeneName	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSG00000197956	S100A6	0.0	6.0	16.0	30.0
ENSG00000167680	SEMA6B	30.0	20.0	20.0	2.0
ENSG00000104856	RELB	7.0	4.0	4.0	30.0
ENSG00000167702	KIFC2	10.0	21.0	9.0	30.0
ENSG00000167513	CDT1	4.0	0.0	16.0	30.0
ENSG00000114378	HYAL1	11.0	5.0	11.0	30.0
ENSG00000138031	ADCY3	7.0	4.0	12.0	30.0
ENSG00000272636	DOC2B	5.0	1.0	24.0	30.0
ENSG00000075673	ATP12A	4.0	7.0	0.0	30.0
ENSG00000147679	UTP23	5.0	2.0	30.0	13.0
ENSG00000235173	HGH1	2.0	0.0	12.0	30.0
ENSG00000154640	BTG3	30.0	25.0	29.0	22.0
ENSG00000068971	PPP2R5B	27.0	22.0	25.0	30.0
ENSG00000185813	PCYT2	14.0	10.0	16.0	30.0
ENSG00000239857	GET4	7.0	7.0	17.0	30.0
ENSG00000204262	COL5A2	4.0	9.0	30.0	25.0
ENSG00000115526	CHST10	9.0	30.0	3.0	18.0
ENSG00000165695	AK8	30.0	9.0	1.0	3.0
ENSG00000170236	USP50	30.0	15.0	1.0	5.0
ENSG00000085831	TTC39A	18.0	12.0	0.0	30.0
ENSG00000159423	ALDH4A1	30.0	24.0	18.0	22.0
ENSG00000197530	MIB2	10.0	6.0	3.0	30.0
ENSG00000005448	WDR54	30.0	11.0	9.0	20.0
ENSG00000213672	NCKIPSD	3.0	5.0	30.0	11.0
ENSG00000109084	TMEM97	0.0	0.0	0.0	30.0
ENSG00000140104	C14orf79	30.0	21.0	14.0	23.0
ENSG00000179627	ZBTB42	8.0	0.0	22.0	30.0
ENSG00000135537	LACE1	30.0	10.0	17.0	19.0
ENSG00000131697	NPHP4	21.0	30.0	6.0	28.0
ENSG00000141577	CEP131	22.0	30.0	13.0	21.0
ENSG00000143119	CD53	23.0	30.0	2.0	0.0
ENSG00000160781	PAQR6	0.0	0.0	1.0	30.0
ENSG00000114767	RRP9	6.0	3.0	2.0	30.0
ENSG00000174307	PHLDA3	0.0	1.0	9.0	30.0
ENSG00000186891	TNFRSF18	30.0	10.0	1.0	9.0
ENSG00000188051	TMEM221	0.0	0.0	2.0	30.0
ENSG00000129173	E2F8	0.0	5.0	23.0	30.0
ENSG00000176155	CCDC57	30.0	10.0	6.0	15.0
ENSG00000178997	EXD1	9.0	0.0	30.0	7.0
ENSG00000163026	C2orf44	9.0	3.0	28.0	30.0
ENSG00000105227	PRX	0.0	0.0	6.0	30.0
ENSG00000141569	TRIM65	9.0	13.0	30.0	17.0
ENSG00000165973	NELL1	30.0	4.0	9.0	18.0
ENSG00000197013	ZNF429	16.0	16.0	30.0	25.0
ENSG00000024862	CCDC28A	30.0	30.0	18.0	24.0
ENSG00000160752	FDPS	7.0	10.0	2.0	30.0
ENSG00000186487	MYT1L	30.0	29.0	0.0	0.0
ENSG00000134330	IAH1	18.0	14.0	19.0	30.0
ENSG00000178035	IMPDH2	9.0	30.0	12.0	11.0
ENSG00000117983	MUC5B	30.0	10.0	0.0	8.0
ENSG00000115289	PCGF1	18.0	30.0	13.0	27.0
ENSG00000166289	PLEKHF1	1.0	0.0	4.0	30.0
ENSG00000235272	FAM103A2P	21.0	26.0	30.0	16.0
ENSG00000161835	GRASP	31.0	12.0	22.0	13.0
ENSG00000112651	MRPL2	11.0	23.0	25.0	31.0
ENSG00000213339	QTRT1	17.0	31.0	2.0	29.0
ENSG00000119630	PGF	31.0	2.0	23.0	9.0
ENSG00000123154	WDR83	15.0	17.0	14.0	31.0
ENSG00000118162	KPTN	6.0	17.0	10.0	31.0
ENSG00000004838	ZMYND10	5.0	31.0	0.0	14.0
ENSG00000139668	WDFY2	31.0	12.0	19.0	30.0
ENSG00000143382	ADAMTSL4	2.0	4.0	1.0	31.0
ENSG00000122033	MTIF3	31.0	7.0	27.0	30.0
ENSG00000119986	AVPI1	8.0	7.0	19.0	31.0
ENSG00000130348	QRSL1	17.0	10.0	21.0	31.0
ENSG00000093144	ECHDC1	27.0	16.0	12.0	31.0
ENSG00000099821	POLRMT	12.0	3.0	12.0	31.0
ENSG00000250254	PTTG2	2.0	5.0	31.0	20.0
ENSG00000284762	ENSG00000284762	20.0	31.0	12.0	28.0
ENSG00000139890	REM2	31.0	29.0	11.0	27.0
ENSG00000186648	LRRC16B	31.0	23.0	3.0	17.0
ENSG00000173137	ADCK5	1.0	5.0	4.0	31.0
ENSG00000025708	TYMP	19.0	30.0	8.0	31.0
ENSG00000153283	CD96	7.0	31.0	16.0	11.0
ENSG00000145088	EAF2	10.0	4.0	31.0	3.0
