id	Cb1	Cb2	Cb3	Cm1	Cm2	Cm3
ENSMUSG00000112148	104.6	101.7	94.3	91.9	88.6	91.4
ENSMUSG00000110185	126.4	108.1	157.8	119.7	123.6	155.9
ENSMUSG00000109901	429.6	444.3	428.3	406.7	512.7	434.1
ENSMUSG00000109864	139.6	152	152.2	124.1	134	130.9
ENSMUSG00000104357	145.9	155.4	134.3	233.4	233.2	167.9
ENSMUSG00000104318	102.7	99.3	97.7	124.4	132.6	145.2
ENSMUSG00000104063	124.6	117.3	123.4	97.6	109.2	106.1
ENSMUSG00000103888	206.1	177.6	143.9	201.3	198.2	132.9
ENSMUSG00000103749	119.7	120.8	135.5	121.4	125.2	127
ENSMUSG00000103711	110.2	97.8	112.3	106.3	117.3	108.7
ENSMUSG00000103707	112.8	110.9	108	106.3	110.3	115.5
ENSMUSG00000103677	114.9	127.4	119.2	113.6	107.5	112.1
ENSMUSG00000103585	698.5	700.8	743.5	487.3	571.1	625
ENSMUSG00000103362	108.9	107.2	122.5	107.5	104.5	102.9
ENSMUSG00000103344	103.3	118.3	109.5	163.8	171.6	161.1
ENSMUSG00000103332	136.7	98.5	107.9	123.2	138.8	137.8
ENSMUSG00000103316	117.3	113.9	130.6	106.7	107.1	119.2
ENSMUSG00000103171	293.4	335.6	383.5	293.1	285.5	351.2
ENSMUSG00000103144	131.9	140.9	122.8	147.5	134.1	129
ENSMUSG00000103104	260	239.5	304.9	356.7	332.5	337.2
ENSMUSG00000103088	228	201.1	112.8	101.6	107.9	115.2
ENSMUSG00000103081	465.4	190.5	331.9	666.7	404.6	382.8
ENSMUSG00000102976	320.6	432	229.3	355.9	338.1	285.9
ENSMUSG00000102918	726	779.5	652.2	634.4	673.9	510.3
ENSMUSG00000102758	91.8	96.7	99.2	118.5	110.2	124.7
ENSMUSG00000102748	95.1	102.8	116.8	98.9	95.9	98.1
ENSMUSG00000102627	339	355	275.5	291.9	374.5	342
ENSMUSG00000102543	370.8	375.1	352	271.4	289.5	336.1
ENSMUSG00000102222	136.4	132.2	108.6	111.8	127.2	107.4
ENSMUSG00000102049	564.1	563.4	532.9	951.8	873.5	512
ENSMUSG00000102024	122.7	137.9	138.9	119.1	131.5	108.8
ENSMUSG00000101892	110.6	104	122.6	107.8	106.9	131
ENSMUSG00000101355	968.1	1050.6	816	539.7	609.7	631.6
ENSMUSG00000100997	134.5	153.4	129.6	152	154.1	145
ENSMUSG00000099844	115.4	155.5	129.1	93.6	92.4	98
ENSMUSG00000099689	159.5	151	171.4	330.9	330.2	314.4
ENSMUSG00000099583	900.8	825.7	621.7	418.8	592.3	514.9
ENSMUSG00000099083	186.7	164.7	147.4	119.6	130.2	122.9
ENSMUSG00000098923	229.6	236.8	261.7	133.6	144.2	207.2
ENSMUSG00000098598	367.1	496.9	351.9	714.3	622.4	658.2
ENSMUSG00000098557	663.9	695	818	3861.3	3756	4236.7
ENSMUSG00000098488	113.7	141.1	124.8	108.6	116.9	114.6
ENSMUSG00000098470	105.4	118.9	129.9	149.9	122.6	139.8
ENSMUSG00000098274	2089	2016.1	2712.9	2073.3	2147.6	2912.8
ENSMUSG00000098176	126.8	122.3	134.4	107.1	105.4	116.9
ENSMUSG00000098134	287.6	276.9	468.6	608.9	471.8	625.6
ENSMUSG00000097829	1756.1	2038.7	2417.7	1573.3	1336.4	1492.5
ENSMUSG00000097487	105.8	104.6	99	133.1	133.1	127.9
ENSMUSG00000097394	532	676.1	632.6	470.5	420.9	512.8
ENSMUSG00000097333	226.8	276.3	355.7	335.8	361.3	563
ENSMUSG00000097328	112.8	102.8	111.4	98.3	94.1	103.1
ENSMUSG00000096807	2076.3	1909.6	1827.3	729.9	956.6	956.2
ENSMUSG00000096768	1439.2	2013.1	1136.7	1694.4	2173.3	1392.8
ENSMUSG00000096727	302.4	319.7	405.2	111.4	103.5	114.9
ENSMUSG00000096718	124.6	127.2	124.1	131	143.8	158.6
ENSMUSG00000096696	130.6	154	182.4	148.5	167.2	196.5
ENSMUSG00000096641	101.5	105.5	102.2	95.1	95.1	89.1
ENSMUSG00000096537	307.1	345.9	372.6	385.3	496.7	502.3
ENSMUSG00000096472	933.2	946.6	782.3	586.5	740.2	720.8
ENSMUSG00000096445	110.3	87.6	90.8	104	101.5	95.1
ENSMUSG00000096442	96.5	105.9	120.8	98.7	96.2	99.5
ENSMUSG00000096433	105.3	116.5	124.3	115.8	110.1	106.8
ENSMUSG00000096271	93.3	97.2	104.5	88.7	97	99.3
ENSMUSG00000096255	580.1	630	632	514.4	464.4	724
ENSMUSG00000096210	1777.7	1868.3	2308.9	1726.9	1781.6	2827
ENSMUSG00000096199	597	618.3	660.5	451.8	431.5	461.8
ENSMUSG00000096197	384.6	305.1	283.5	327.6	379.4	235.6
ENSMUSG00000096188	122.8	179.3	111.9	97.2	99.8	104.9
ENSMUSG00000096145	513.6	484.7	436.8	572.7	568.3	604.6
ENSMUSG00000096054	126	99.2	104.9	104.2	98.9	95.4
ENSMUSG00000096039	118.6	117.7	132.6	102.1	106	102.9
ENSMUSG00000096014	129.8	126.3	108.2	105	118.6	113.5
ENSMUSG00000096010	542.1	596.7	498.4	265.9	348.2	331.3
ENSMUSG00000095990	157.5	121.3	155.5	153.8	138.3	172
ENSMUSG00000095975	91.2	89.9	89	105.3	104.5	105.1
ENSMUSG00000095831	144.1	114.2	128.3	188.4	171.3	151.3
ENSMUSG00000095789	87	90	97.2	93.9	98.1	101
ENSMUSG00000095696	108.7	113.4	108.1	130	102.8	102.8
ENSMUSG00000095595	198.3	177.3	200	236.9	216	223.4
ENSMUSG00000095567	493.1	422.6	348.8	422.1	527	337.4
ENSMUSG00000095498	109.1	107.4	99.3	100.1	98.8	94
ENSMUSG00000095463	345.3	379.6	352.7	383.4	415.9	318.2
ENSMUSG00000095432	112.2	109.1	121.7	109.9	130.7	129.2
ENSMUSG00000095385	121.6	138.5	117.9	141.2	114.2	139.2
ENSMUSG00000095377	124.4	110	155.8	149.1	132.8	127.4
ENSMUSG00000095362	1438.2	1557.1	1586	2236.1	2228.6	2176.7
ENSMUSG00000095304	97.5	87.9	103.9	125.7	140.7	150.5
ENSMUSG00000095253	104.3	110.8	97.1	128.6	125.8	200.2
ENSMUSG00000095217	1453.8	1486.3	1587.5	589.2	824.1	838.3
ENSMUSG00000095180	147	91.2	111.3	155.6	150	176.5
ENSMUSG00000095105	109.1	126.2	112.8	110.6	117.5	113.2
ENSMUSG00000095098	550.3	590.7	622.4	160.7	155.1	174.2
ENSMUSG00000095024	197.5	171.3	126.7	148.8	167.8	131.8
ENSMUSG00000094936	1155.7	1186.2	862.6	873.9	1007.4	741.8
ENSMUSG00000094910	113.3	115.8	154.1	166.8	180.3	224.2
ENSMUSG00000094893	98	105.4	97.9	90.6	91.7	92.9
ENSMUSG00000094870	920.5	882.2	668.6	892.7	1098.5	744.5
ENSMUSG00000094777	2636	2359.7	1960	1132.9	1533.6	1411.6
ENSMUSG00000094724	813.6	907.3	1010.7	962.9	1066.7	1113.2
ENSMUSG00000094500	95.5	85.6	95.7	96.3	105.8	96.9
ENSMUSG00000094483	985.4	1038.5	808.1	896.3	788.3	809.4
ENSMUSG00000094441	150.6	162.2	150.3	170.3	183.3	209.1
ENSMUSG00000094385	147.2	98	95.5	117.8	102.9	119
ENSMUSG00000094258	332.8	252.1	212.4	349.3	291.8	207.8
ENSMUSG00000094103	134.8	133.6	176.9	151	165.1	161.2
ENSMUSG00000093989	275.8	276.7	314	148.8	136.8	155.1
ENSMUSG00000093938	813.9	1041.4	831.1	956.6	925.4	714.3
ENSMUSG00000093805	103.1	105.9	117.2	149.5	133	153.4
ENSMUSG00000093769	735.1	648.2	571.6	416.7	456.7	546.3
ENSMUSG00000093674	5810.8	6506.6	6204.1	7366.6	6634.7	6506.6
ENSMUSG00000093661	175.4	193	141.3	189	196.6	182.9
ENSMUSG00000093550	138.7	191.3	92.3	130.8	151.3	102.2
ENSMUSG00000093445	116.5	131.8	139.3	99.1	97.5	98
ENSMUSG00000092607	148.9	167.3	127.4	132	138	149.7
ENSMUSG00000092486	170.4	157.1	206.7	185.2	170.8	181.2
ENSMUSG00000092417	124.7	116.8	141.4	107.3	110.6	116
ENSMUSG00000092329	303.4	192	273.2	472.9	397.5	479.2
ENSMUSG00000092260	129.5	117.7	184.4	219.2	166.2	155.7
ENSMUSG00000092210	76.8	82.5	100.8	88.7	91.3	91.1
ENSMUSG00000092192	94	92.7	97.3	121.2	102.8	103.5
ENSMUSG00000092035	382.8	431.1	467.8	300	262.7	331.6
ENSMUSG00000091971	197.8	479.2	92.8	115.6	130.9	103.2
ENSMUSG00000091964	177.4	280.9	149.6	353.9	419.6	234.3
ENSMUSG00000091938	88.3	97	95.6	157.4	123.5	168.5
ENSMUSG00000091896	408	238	460.7	740.6	776	951.8
ENSMUSG00000091811	212.3	163.6	152.3	238.1	185.4	234.3
ENSMUSG00000091803	106.8	101.5	99.3	103.1	112.7	107.4
ENSMUSG00000091736	125.7	143.5	173.7	155.9	135.3	131.4
ENSMUSG00000091735	86.9	93.2	89.8	118.5	104.5	137.1
ENSMUSG00000091625	699.8	881.8	945.7	717.1	671.8	779.9
ENSMUSG00000091455	89.2	83.9	79.1	85.8	83.1	92.8
ENSMUSG00000091405	131	128.7	126.1	93.4	97.8	103.7
ENSMUSG00000091337	748.7	555.8	834.5	761.2	773.3	1026.1
ENSMUSG00000091264	181.3	224.8	255.1	227	210.4	257.3
ENSMUSG00000091243	87.3	92.8	84.1	96.9	94.9	95.1
ENSMUSG00000090946	191.6	219.3	181.2	157.8	164.1	185.6
ENSMUSG00000090935	132.8	120.1	147.7	108.4	118.3	129.2
ENSMUSG00000090877	120.6	172.8	102	99.8	100.1	98.8
ENSMUSG00000090862	924.3	962.6	1166.3	1259.8	1062.2	1363.4
ENSMUSG00000090841	3308.7	2793.6	2852.4	2044.8	1997.4	2275.9
ENSMUSG00000090840	97.7	100.2	94.5	116.4	107.8	99.2
