id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3	pval	qval
ENSG00000169071	3.0	1.0	4.0	19603.0	14851.0	26072.0	0.0	0.0
ENSG00000083857	179.0	183.03	228.0	1763.0	1320.0	1908.0	4.94182096004727e-97	9.495214792634825e-93
ENSG00000164749	6.03	10.44	10.24	362.4	359.54	529.93	9.060495696324087e-87	1.1605890953944734e-82
ENSG00000179083	4.0	6.0	8.0	202.0	217.0	240.0	1.3967937525081451e-56	1.341899758034575e-52
ENSG00000136167	289.0	208.0	265.0	2416.0	1205.0	2265.0	7.594128987972303e-53	5.836543774995993e-49
ENSG00000125246	70.88	54.26	71.27	378.04	289.07	358.61	8.746036792080722e-34	5.601545030767966e-30
ENSG00000170017	3702.0	4510.0	3693.0	1588.0	1334.0	1607.0	6.202921736354795e-30	3.405226806923458e-26
ENSG00000115935	1582.75	1189.0	1080.0	4488.37	2722.0	4494.83	4.188852143388793e-29	2.0121151270768068e-25
ENSG00000163584	909.01	847.06	794.0	2562.0	2054.0	2104.0	2.467496185589923e-25	1.0535660379983283e-21
ENSG00000127831	194.91	101.12	121.13	1770.22	628.29	1438.67	2.786142219340265e-25	1.070658732048077e-21
ENSG00000257987	0.0	1.0	1.0	37.0	34.0	42.0	5.438006876111475e-25	1.8997429839564706e-21
ENSG00000104267	15618.0	19599.0	16328.0	7612.0	6302.0	9194.0	1.1020552868063194e-24	3.529148380116104e-21
ENSG00000166106	99.0	124.0	145.0	14.0	10.0	12.0	1.8073309665375994e-24	5.342470337085144e-21
ENSG00000189212	1010.92	1071.56	1056.95	2103.41	1701.05	2251.78	2.6160654996128796e-22	7.180726072794552e-19
ENSG00000115252	138.0	199.0	195.0	5.0	8.0	26.0	9.058967545039273e-22	2.320786698805128e-18
ENSG00000176406	99.61	137.91	99.56	334.85	284.27	425.69	1.5569300468887925e-21	3.739356740115157e-18
ENSG00000111799	4948.0	4374.0	4894.0	688.0	596.0	1559.0	2.965363478439193e-21	6.7031169264389004e-18
ENSG00000188959	354.0	348.0	179.0	48.0	38.0	52.0	5.532855598512708e-20	1.1812031941091462e-16
ENSG00000229807	10667.53	10966.88	7084.6	3432.74	3155.7	4162.25	6.795722476770111e-19	1.374452754406957e-15
ENSG00000148942	50.94	84.0	65.6	4.86	6.96	3.0	1.3628520991064167e-18	2.6185840232230692e-15
ENSG00000118777	617.0	518.0	743.0	2158.95	1434.0	1704.97	4.819004654311877e-18	8.818319564566516e-15
ENSG00000095739	3346.0	2833.0	3333.0	6190.0	4759.0	7050.0	1.070308611340012e-17	1.869537241662454e-14
ENSG00000168032	7.16	4.0	9.16	85.63	42.22	135.04	1.3843904051883436e-17	2.2482388197155896e-14
ENSG00000115461	2348.0	2205.0	1407.0	301.0	317.0	668.0	1.404125420869526e-17	2.2482388197155896e-14
ENSG00000215182	589.0	346.0	469.0	119.0	57.0	130.0	4.0083626227602696e-16	6.161334354697265e-13
ENSG00000165406	441.95	480.93	386.0	990.09	614.0	985.0	1.0261800929616533e-15	1.5166941773973236e-12
ENSG00000116299	4546.12	5919.44	2902.68	1311.09	1206.48	1719.29	1.4086449127239354e-15	2.0048669150427923e-12
ENSG00000174599	44.0	55.0	50.0	6.0	4.0	10.0	1.7481922177111135e-15	2.3992689479358095e-12
ENSG00000254251	1494.48	1379.69	1392.29	2402.55	1923.57	2875.64	2.6904420028170783e-15	3.565113975319127e-12
ENSG00000134202	1313.95	1204.58	1664.44	3018.17	2387.02	3682.91	4.525155601737494e-15	5.796422648785614e-12
ENSG00000156049	634.0	771.0	454.0	231.0	171.0	222.0	5.6405280688243445e-15	6.992071375121996e-12
ENSG00000175356	3560.04	3522.0	2749.0	1772.0	1307.0	2003.0	9.61162875216537e-15	1.1542364677756588e-11
ENSG00000230836	618.0	765.0	531.0	272.0	213.0	286.0	1.2660007112713178e-14	1.474238646446491e-11
ENSG00000198765	62.62	105.26	73.56	15.39	3.56	15.19	1.3825867820321354e-14	1.562648378233262e-11
ENSG00000197261	4028.22	5099.23	3351.82	1869.39	1490.51	2434.48	1.4456067719076998e-14	1.5871936294534025e-11
ENSG00000155093	166.0	172.0	115.0	44.0	25.0	48.0	2.6297532773902334e-14	2.8071155262097745e-11
ENSG00000106780	1309.36	1620.5	1534.32	2585.98	2027.68	2851.86	2.985497227893461e-14	3.100721283067295e-11
ENSG00000151632	3056.99	4390.89	3127.06	1409.33	1261.82	1996.02	5.806299089683952e-14	5.871696353115129e-11
ENSG00000137491	9.27	7.68	10.1	83.91	40.28	55.48	6.688968460824579e-14	6.590863590065819e-11
ENSG00000140479	1659.3	1629.16	1384.93	2643.92	1863.01	3038.64	8.252856275428972e-14	7.928519023804613e-11
ENSG00000089847	83.0	63.0	54.0	196.0	145.0	279.0	1.7528937589626945e-13	1.6429317407175225e-10
ENSG00000127863	166.0	197.31	166.0	55.0	36.0	76.03	2.2753228255352365e-13	2.0818120366587636e-10
