id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3
ENSG00000000003.10	716.28	775.53	803.12	717.31	611.08	955.16
ENSG00000000005.5	1	0	0	0	0	0
ENSG00000000419.8	5331	5442	5220	5236	4320	5251
ENSG00000000457.8	808.9	943.48	782.45	715.16	623.49	837.83
ENSG00000000460.12	1716.1	1930.46	1836.89	1517.95	1301.12	1716.08
ENSG00000000938.8	0	0	0	0	1	0
ENSG00000000971.11	1	0	1	1	0	1
ENSG00000001036.8	5947.3	6195.52	6484.52	7726.25	5578.49	7706.06
ENSG00000001084.6	3296.55	3589.13	3229.31	3750.15	2871.75	3752.67
ENSG00000001167.10	2953.59	3438.35	3330.72	3089.34	2603.84	3744.63
ENSG00000001460.13	189.67	237.16	166.97	151.36	141.88	197.65
ENSG00000001461.12	714.94	1000.68	585.83	619.15	523.07	751.27
ENSG00000001497.12	3423	3469	2907	3821	2791	3526
ENSG00000001561.6	967	994	851	819	674	864
ENSG00000001617.7	4325.5	5194.59	3147.5	3206.04	2758	4377.14
ENSG00000001626.9	0	2	3	2	1	1.79
ENSG00000001629.5	6240	6771	5691	7306	5685	7596
ENSG00000001630.11	7313.7	6576.25	7446.05	10875.37	8013.44	9987.67
ENSG00000001631.10	2498.86	2940.1	2460.5	2702.11	2247.74	2918.36
ENSG00000002016.12	381.31	456	369	389.79	280.63	431.76
ENSG00000002079.8	28	30	28	36	18	36
ENSG00000002330.9	1119.64	1102.08	947.27	1191.86	765.13	1334.53
ENSG00000002549.8	3650	3558.81	3288.9	3995.89	2886.9	3654
ENSG00000002586.13	2821	3189	2587	2462	1952	2969
ENSG00000002587.5	15.6	19.96	10.34	16.58	8.2	9.23
ENSG00000002726.15	2.01	1	2	3	0	0
ENSG00000002745.8	2	5	8	3	8	7
ENSG00000002746.9	15.98	15.06	13.02	11.89	4.21	9.54
ENSG00000002822.11	1523	1829.65	1573.89	1383	1085.9	1623.56
ENSG00000002834.13	9617.88	8246.72	8403.15	9081.54	5987.76	9636.23
ENSG00000002919.10	1736.43	1777.03	1924.44	1661.09	1215.08	1983.7
ENSG00000002933.3	0	0	0	1	0	0
ENSG00000003056.3	6642.89	6165.79	6644.08	7358.95	5161.33	7404.61
ENSG00000003096.9	507.6	696.68	478.18	388.68	442.62	606.66
ENSG00000003137.4	72	81	81	64	56	74
ENSG00000003147.13	2310	3061.57	2170.83	2119.86	1509.76	2027.2
ENSG00000003249.9	3126.75	2338.17	2665.1	3053.06	1989.85	3273.75
ENSG00000003393.10	1833.97	2199	1828	1961	1716	2196.73
ENSG00000003400.10	70.7	76.26	48.28	54.65	48.21	78.17
ENSG00000003402.14	1732.72	1948.97	1467.84	1667.4	1284.04	1811.99
ENSG00000003436.10	978.97	1104.78	1339.52	1930.81	1839.95	2507.39
ENSG00000003509.11	855.39	922.44	808.29	1006.34	722.42	1041.02
ENSG00000003756.12	6349.72	8193.91	5948.88	5927.93	4900.17	6671.27
ENSG00000003987.9	229.3	273.66	229.98	200.16	156.15	269.86
ENSG00000003989.12	36030	33989	27518	34356	22110	33518
ENSG00000004059.6	5264	5558.68	5174.22	4414.93	3273.14	5722.59
ENSG00000004139.9	374.18	415.81	368.22	401.46	263.79	503.33
ENSG00000004142.7	6150.25	5841.01	6052.82	6932.2	4761.53	7043.16
ENSG00000004399.8	12609	14253	10130	11148	9055	14400
ENSG00000004455.12	6091.11	5349.37	5348.07	5236.34	3561.44	5163.87
ENSG00000004468.7	1	2	2	1	1	2
ENSG00000004478.5	33088.83	32096.57	31718.76	31466.28	21067.49	31086.85
ENSG00000004487.11	6560	6491	6196	5365	3992	6007
ENSG00000004534.10	4924.06	5402.07	4445.18	4339.29	3340.43	5111.3
ENSG00000004660.10	339.18	272.41	226.23	395.55	204.56	309.61
ENSG00000004700.11	2560.54	2735.82	2425.53	2394.2	2086.9	2547.13
ENSG00000004766.11	1161.26	1365.59	1086.32	1556.87	1304.44	1416.69
ENSG00000004776.7	6.38	14.38	11.75	2.27	4.69	10.65
ENSG00000004777.14	1065	2102	1173	655	722	1530
ENSG00000004779.5	5701	5338	5465	5508	4498	5586
ENSG00000004799.7	212	191	165	287	184	236
ENSG00000004809.9	0	0	0	0	1	3
ENSG00000004838.9	85.07	108.32	58.02	40.08	51.33	58.19
ENSG00000004846.12	6.69	8.41	4.3	6.82	7.23	13.05
ENSG00000004848.6	41	47	37	51	34	57
ENSG00000004864.9	2626	2253	2680.99	3756	2378	3454
ENSG00000004866.14	666.01	764.97	665.32	580.19	471.39	627.45
ENSG00000004897.7	5913.05	7311.08	6704.72	5814.14	5482.74	7164.97
ENSG00000004939.9	1.19	2	2.19	5.51	4.32	3.24
ENSG00000004948.9	696	794	667	299	296	672
ENSG00000004961.10	1484	1445	1391	1531	1071	1485
ENSG00000004975.7	1743.15	2278.29	1832.26	1514.69	1377.76	2325.07
ENSG00000005001.5	553	366	563	448	251	557
ENSG00000005007.8	10777	10839	9597	10825	7583	11508.07
ENSG00000005020.8	2279.64	2529.8	2292.8	2475.79	1878.32	2526.86
ENSG00000005022.5	37316.58	37807.72	35431.86	38266.48	27048.87	38833.83
ENSG00000005059.11	1241.51	1285.09	1314.07	1339.59	1216.4	1430.55
ENSG00000005073.5	20.31	17.52	19.15	22.82	17	23.42
ENSG00000005075.11	4037.54	4662.15	4132.63	4462.26	3270.09	4912.96
ENSG00000005100.8	3215.28	3018.19	2975.16	3174.75	2110.18	3267.63
ENSG00000005102.8	1	0	0	0	1	1
ENSG00000005108.10	0	0	0	1	0	0
ENSG00000005156.7	1296.32	1462.49	1386.18	1473.15	1046.52	1450.49
ENSG00000005175.5	2808.35	3031.84	2973.58	2930.15	2546.18	3066.11
ENSG00000005187.7	69.97	101.69	72.59	73.33	64.1	67.53
ENSG00000005189.15	1309.75	1455.85	1371.04	1149.45	968.17	1270.77
ENSG00000005194.10	1925.06	1788.01	2083	1946	1448	2155
ENSG00000005206.11	2035.18	2929.1	1862.51	1426.73	1297.29	2303.88
ENSG00000005238.15	510	646	341	464	342	590
ENSG00000005243.5	89	64	105	110	52	143
ENSG00000005249.8	471	533	518	447	397	563
ENSG00000005302.13	753.34	863.14	650.02	812.51	630.4	865.33
ENSG00000005339.8	10048.98	11936.4	9487.34	8849.51	6829.15	10906.88
ENSG00000005379.11	7.18	7.19	7.2	8.03	7.37	14.41
ENSG00000005381.6	0	0	0	0	0	0
ENSG00000005421.4	0	2	0	2.01	2	0
ENSG00000005436.9	779.11	701.59	710.88	709.36	644.83	740.72
ENSG00000005448.12	1767.59	1926.02	1469.36	1415.64	1094.32	1687.18
ENSG00000005469.7	1241.92	1106	958	1358	901	1150.67
ENSG00000005471.11	51	48.88	26.7	20	15	23.82
ENSG00000005483.15	4429.56	4805.58	4350.34	5194.5	3728.75	5600.74
ENSG00000005486.12	3127	3043	3154	3097	2103	3820
ENSG00000005513.9	15	9	20	20	12	19
ENSG00000005700.10	6084.64	5559.79	5424.46	7240.72	5227.39	6437.33
ENSG00000005801.12	1156.47	1089.64	960.66	1340.11	1003.03	1136.79
ENSG00000005810.13	3090.94	3795.52	3264.08	3155.46	2439.64	3640.68
ENSG00000005812.6	1714.61	1829.37	1670.25	1673	1396.4	1832.81
ENSG00000005844.13	77.55	75.27	57.9	56.57	34.93	51.27
ENSG00000005882.7	1148.17	1350.34	1039.77	1114.58	777.11	1326.49
ENSG00000005884.13	3391.82	3635.69	2900.11	3856.24	2811.18	4508.11
ENSG00000005889.11	1845.32	2134.55	1932.27	2168.62	1642.2	2274.6
ENSG00000005893.11	9619.1	10220.59	8798.07	10455.48	8431.96	11201.21
ENSG00000005955.8	2697.34	2877.51	2492.67	2627.61	1940.88	2644.99
ENSG00000005961.13	198.94	340.21	211.64	158.28	184.4	331.25
ENSG00000005981.8	11.07	13.1	14	8.94	13	13.05
ENSG00000006007.7	6010.83	6110.06	5646.33	5950.6	4243.09	6249.18
ENSG00000006015.13	1346.75	1501.63	1347.92	1300.31	926.83	1489.88
ENSG00000006016.6	729.83	918.97	870.08	759.16	646.16	1230.61
ENSG00000006025.7	1377	1398	1248	1011	667	1525
ENSG00000006042.7	52.01	40.08	33.16	36.71	26.68	30.34
ENSG00000006047.8	1463.92	2019.9	1739.9	975.97	922	1963
ENSG00000006059.3	1	0	1	0	1	1
ENSG00000006062.9	677.83	476.99	575.14	732.14	413.2	651.61
ENSG00000006071.7	128	144	109	112	65	155
ENSG00000006074.4	0	0	0	0	0	0
ENSG00000006075.11	0	0	0	0	0	0
ENSG00000006114.11	1550.07	1765.97	1576.56	1650.83	1308.78	1981.57
ENSG00000006116.3	1	0	0	0	0	0
ENSG00000006118.10	5865.85	5922.12	5118.16	4528.59	3374.57	5944.7
ENSG00000006125.12	8088.8	9126.13	7102.72	6832	5332.9	8106
ENSG00000006128.7	0	0	0	0	0	0
ENSG00000006194.6	2104.25	2213.06	1934.24	2053.88	1470.75	1959.24
ENSG00000006210.6	29.41	21.74	17.01	23.95	18.3	26.88
ENSG00000006282.15	3392	3351	3200	3240	2201	4332
ENSG00000006283.13	3	3	1	2	1	2
ENSG00000006327.9	2949	2360	3781	2582	1974	3306
ENSG00000006377.9	0	0	0	1	0	0
ENSG00000006432.11	2920.23	2782.11	2725.51	2912.43	1837.4	3121.53
ENSG00000006451.3	3289.75	3332	3172	2977	2500.75	3221.77
ENSG00000006453.9	1295.37	1060.78	1214.93	1592.95	1237.46	1609.95
ENSG00000006459.6	790	833	684	612	522	757
ENSG00000006468.9	1	0	1	0	0	1
ENSG00000006530.11	1908.11	1742.86	1727.07	1734.37	1278.74	1756.6
ENSG00000006534.11	886.84	377.38	604.85	2130.23	805.91	1927.05
ENSG00000006555.6	17.34	29.38	29.31	27.97	21.47	24
ENSG00000006576.12	3496.39	3732.45	3839.71	3934.12	3379.75	4673.81
ENSG00000006606.4	2	4	8	25	10	14
ENSG00000006607.8	1034.18	1107.91	994.21	1052.13	765.01	1211.38
ENSG00000006611.11	0	1	1	0	1	3
ENSG00000006625.13	6989.75	6901.88	6359.99	6503.79	5066.98	6659.37
ENSG00000006634.3	3091.83	4147.45	4037.97	3576.63	3703.95	3990.67
ENSG00000006638.7	62.51	55.75	42.63	56.94	40.61	67.3
ENSG00000006652.9	4084	3722	4011.73	3994	3152.9	3247
ENSG00000006659.8	0	0	0	0	0	0
ENSG00000006695.6	802.02	834.74	805.72	885.39	645.16	994.11
ENSG00000006704.6	1578.97	1641.06	1198.82	1291.66	864.49	1498.37
ENSG00000006712.10	5519	6744	5892	5226	3969	6525
ENSG00000006715.11	3292.88	3411.93	3206.14	3259.31	2356.51	3551.75
ENSG00000006740.11	887.38	1014.91	843.38	1044.5	726.57	1039.43
ENSG00000006744.13	5821.45	5841.72	5689.91	6161.86	4330	6536.43
ENSG00000006747.10	179	244.32	212.27	315.35	279.97	290
ENSG00000006756.11	3737.77	4449.22	3537.75	3245.94	2443.18	4394.37
ENSG00000006757.7	118	105.19	119.71	113.22	52.43	142.96
ENSG00000006788.7	0	0	0	0	0	0
ENSG00000006831.9	6107	6284	5999	6780	4950	8003.08
ENSG00000006837.6	113.8	120.26	100.69	118.94	75.07	102.05
ENSG00000007001.8	0	7	0	1	3	2
