ENSEMBLID	Control	Control.1	Control.2	shEZH2_d4	shEZH2_d4.1	shEZH2_d4.2	shEZH2_d8	shEZH2_d8.1	shEZH2_d8.2
ENSG00000000003.10	7.275590585	7.751015993	6.482006846	15.95652192	15.98666605	14.93839877	14.75887543	15.00224915	12.66291792
ENSG00000000419.8	17.74972803	18.06003207	14.15992716	23.2817809	21.82067174	18.48348008	20.72975219	18.61640566	24.07967496
ENSG00000000457.9	0.835813266	0.853971719	0.63766875	1.488056056	1.51432811	1.214786011	1.303317115	1.180374458	1.605936258
ENSG00000000460.12	1.728676529	1.765970699	1.429399921	0.649872801	0.83543336	0.427101227	0.389267224	0.354818258	0.428021074
ENSG00000000938.8	0.019577562	0	0	0.010518827	0	0.010145127	0.03095547	0.010816135	0
ENSG00000000971.11	0.634693786	0.637057226	0.543879082	3.28450891	2.652366772	2.41048667	0.330118191	0.226079006	0.651795744
ENSG00000001036.9	26.29785657	29.12911948	26.70971342	23.70159846	24.73046343	20.7803883	23.30765246	24.23899012	21.08464379
ENSG00000001084.6	4.998669959	4.614465356	3.869828036	5.833485684	5.153028962	4.930769097	2.943787261	2.699486491	4.173771705
ENSG00000001167.10	10.21703689	8.97028988	8.581898122	9.732495727	8.989565138	8.656138646	8.023355589	6.872199354	8.890288624
ENSG00000001460.13	3.195322995	3.17440349	3.189774425	1.84128398	2.004741162	2.065637949	2.618802197	2.780409884	2.17059965
ENSG00000001461.12	22.25375462	21.49066956	20.02494038	19.11054322	20.08236186	18.96004496	22.08954537	23.14689961	21.75279089
ENSG00000001497.12	12.15073023	13.19750158	13.80892644	5.426766195	5.888661682	6.444720543	8.376354039	8.45090244	6.490046103
ENSG00000001561.6	0.007311594	0.008647293	0.009619635	0.015713784	0	0	0.015414506	0	0.070451125
ENSG00000001617.7	32.61102552	32.7182057	39.49364408	54.60916408	57.95027753	59.34399841	55.7751497	59.67971791	44.13268086
ENSG00000001626.10	0.004198818	0	0	3.167399482	2.364596897	2.03222966	0.57095814	0.310846029	1.031675345
ENSG00000001629.5	4.731300865	4.100826372	3.444988219	7.826122391	6.969742287	6.124478022	3.52431279	3.0829626	8.023964159
ENSG00000001630.11	2.053395028	2.28043373	1.691237589	2.529444833	1.864264764	2.214655833	3.387549599	3.237337752	3.747996379
ENSG00000001631.10	1.507368128	1.594739747	1.456748256	1.796491549	1.71784664	1.641773939	1.022698067	0.787360246	2.234101236
ENSG00000002016.12	1.322915196	1.478200002	0.95034416	1.08144588	1.052507996	1.194432537	1.445834686	0.995430345	1.368542523
ENSG00000002079.8	0.005324288	0	0.014009996	0.108706074	0.127864137	0.115880319	0.117860516	0.129427834	0.148776848
ENSG00000002330.9	13.0410289	14.50505389	13.909502	11.21090181	11.40371052	11.92689171	19.03554776	23.40753501	11.10772113
