iter	Passed	Remaining
0	2	2557
1	6	3002
2	7	2656
3	9	2462
4	11	2379
5	13	2293
6	15	2234
7	17	2218
8	20	2262
9	22	2226
10	24	2211
11	27	2233
12	29	2208
13	31	2188
14	33	2169
15	36	2233
16	38	2218
17	40	2203
18	42	2194
19	44	2179
20	46	2161
21	48	2145
22	50	2131
23	52	2138
24	54	2141
25	56	2128
26	58	2116
27	60	2105
28	62	2095
29	64	2085
30	66	2076
31	70	2146
32	73	2156
33	75	2144
34	77	2134
35	79	2123
36	81	2114
37	83	2109
38	86	2124
39	88	2118
40	90	2110
41	92	2103
42	94	2094
43	96	2087
44	98	2080
45	100	2083
46	103	2100
47	106	2103
48	108	2099
49	110	2096
50	112	2091
51	114	2083
52	116	2079
53	119	2090
54	121	2084
55	123	2077
56	125	2072
57	127	2067
58	129	2062
59	131	2055
60	133	2050
61	135	2046
62	137	2041
63	139	2037
64	141	2036
65	143	2030
66	145	2023
67	147	2019
68	151	2037
69	152	2031
70	155	2028
71	157	2027
72	159	2021
73	161	2016
74	165	2043
75	169	2058
76	171	2059
77	174	2057
78	176	2052
79	177	2046
80	179	2040
81	182	2045
82	185	2050
83	187	2045
84	189	2039
85	191	2037
86	194	2039
87	197	2043
88	199	2042
89	201	2037
90	205	2054
91	209	2071
92	213	2079
93	215	2077
94	217	2073
95	219	2069
96	221	2065
97	223	2059
98	226	2058
99	228	2053
100	232	2071
101	234	2068
102	236	2063
103	239	2060
104	242	2065
105	244	2066
106	248	2074
107	250	2068
108	254	2076
109	256	2074
110	258	2073
111	260	2068
112	265	2084
113	267	2078
114	269	2073
115	271	2068
116	273	2062
117	276	2063
118	278	2060
119	280	2060
120	283	2055
121	285	2057
122	288	2056
123	291	2058
124	293	2053
125	297	2063
126	299	2060
127	302	2057
128	305	2063
129	308	2065
130	311	2066
131	314	2068
132	316	2063
133	318	2059
134	320	2054
135	322	2049
136	324	2044
137	326	2040
138	328	2037
139	330	2033
140	332	2028
141	334	2023
142	336	2018
143	339	2018
144	341	2014
145	345	2021
146	348	2024
147	351	2020
148	353	2017
149	355	2012
150	357	2008
151	359	2003
152	362	2004
153	363	1999
154	366	1995
155	367	1990
156	369	1985
157	371	1981
158	373	1976
159	376	1975
160	379	1975
161	381	1971
162	383	1967
163	384	1962
164	386	1957
165	388	1953
166	390	1949
167	394	1951
168	395	1947
169	397	1943
170	403	1957
171	406	1958
172	408	1954
173	410	1950
174	414	1952
175	416	1950
176	418	1946
177	421	1944
178	423	1942
179	431	1966
180	435	1970
181	438	1969
182	440	1968
183	444	1969
184	446	1966
185	448	1962
186	450	1958
187	452	1954
188	454	1951
189	456	1947
190	460	1948
191	462	1945
192	464	1941
193	466	1936
194	468	1934
195	472	1936
196	474	1933
197	477	1932
198	478	1928
199	481	1924
200	483	1920
201	485	1918
202	487	1913
203	490	1915
204	493	1913
205	495	1908
206	497	1904
207	499	1900
208	501	1899
209	503	1895
210	507	1897
211	509	1894
212	511	1890
213	513	1886
214	515	1882
215	517	1878
216	519	1874
217	521	1871
218	523	1867
219	525	1863
220	527	1859
221	530	1858
222	532	1854
223	534	1851
224	536	1847
225	540	1850
226	542	1848
227	544	1844
228	546	1840
229	549	1839
230	551	1835
231	553	1832
232	557	1833
233	559	1830
234	561	1826
235	563	1822
236	564	1818
237	566	1814
238	568	1810
239	571	1808
240	574	1807
241	576	1804
242	577	1800
243	579	1796
244	581	1793
245	583	1789
246	585	1786
247	588	1783
248	590	1779
249	592	1776
250	593	1772
251	596	1769
252	598	1766
253	601	1767
254	604	1766
255	606	1763
256	608	1759
257	610	1756
258	612	1752
259	614	1748
260	616	1745
261	619	1746
262	622	1744
263	624	1740
264	626	1737
265	628	1733
266	630	1730
267	633	1731
268	637	1731
269	639	1728
270	641	1724
271	644	1725
272	646	1722
273	649	1720
274	653	1721
275	655	1720
276	657	1717
277	659	1713
278	661	1710
279	663	1706
280	668	1709
281	671	1709
282	673	1706
283	675	1703
284	677	1700
285	680	1698
286	683	1698
287	687	1698
288	689	1696
289	691	1693
290	693	1689
291	695	1686
292	697	1683
293	700	1681
294	702	1677
295	704	1676
296	707	1674
297	709	1672
298	712	1669
299	715	1668
300	717	1665
301	719	1662
302	720	1658
303	723	1656
304	725	1652
305	727	1649
306	729	1647
307	734	1649
308	736	1646
309	738	1643
310	740	1639
311	742	1636
312	744	1633
313	746	1630
314	748	1627
315	750	1624
316	752	1621
317	754	1618
318	756	1615
319	758	1611
320	760	1608
321	762	1605
322	765	1605
323	768	1603
324	770	1600
325	772	1596
326	774	1593
327	776	1590
328	778	1587
329	781	1585
330	783	1584
331	785	1581
332	787	1577
333	790	1575
334	792	1572
335	795	1572
336	801	1575
337	803	1573
338	805	1569
339	807	1566
340	814	1574
341	817	1572
342	820	1570
343	822	1568
